function_name,kind,source_file,source_module,starting_line,ending_line,doc_block_start_line,move_block_start_line,nested_in_parent,target_file,target_module,target_module_purpose,referenced_by_n_files,referenced_by,possibly_referenced_by_n_files,possibly_referenced_by,documentation
DINET,subroutine,src/frame/FRmod.f90,FRmod,5919,5933,5905,5905,False,src/frame/frame_setup.f90,frame_setup,Opens the rundata-controlled files and drives whole-model initialisation.,0,,0,,"!> @brief Supplies ET defaults when the evapotranspiration component is disabled.
!>
!> The routine only writes an `ENTER DINET` message and sets `BMETAL=.TRUE.`.
!> The commented assignments to rainfall, evaporation, interception, root-zone
!> evaporation, drainage, and soil evaporation are inactive. In the current frame
!> initialisation, ET is forced active by [[infr]], so this dummy path is retained
!> mainly for legacy component structure.
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1989-1991 | GP | 0.1-0.2 | Added and reduced the legacy dummy-component initialisation set. |
!> | 2026-04 | SvB | 4.6.1 | Retained the inactive compatibility hook during control-flow cleanup. |
!> @endhistory"
DINOC,subroutine,src/frame/FRmod.f90,FRmod,5949,5955,5935,5935,False,src/frame/frame_setup.f90,frame_setup,Opens the rundata-controlled files and drives whole-model initialisation.,0,,0,,"!> @brief Supplies overland/channel defaults when that component is disabled.
!>
!> This routine belongs to the legacy SHETRAN-UK dummy component set (DUM),
!> which contains dummy versions of OC, ET, UZ, SZ, and EXSZOC routines. These
!> minimal dummy components are not currently used. `DINOC` only writes an
!> `ENTER DINOC` message and returns.
!>
!> @history
!>
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1989-06 | GP | 0.1 | Added dummy components for use with V-catchment tests. |
!> | 1991-12 | GP | 0.2 | Reduced to minimal versions, not currently used. |
!> @endhistory"
DOCIN,subroutine,src/frame/FRmod.f90,FRmod,5967,5971,5957,5957,False,src/frame/frame_setup.f90,frame_setup,Opens the rundata-controlled files and drives whole-model initialisation.,0,,0,,"!> @brief Retains the no-op overland/channel input hook required by the legacy component structure.
!>
!> `DOCIN` performs no work and has no side effects.
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 1989-1991 | GP | 0.1-0.2 | Added the legacy dummy OC component hooks. |
!> | 2026-04-13 | SvB | 4.6.1 | Marked the no-op input hook pure. |
!> @endhistory"
MUERR2,subroutine,src/frame/FRmod.f90,FRmod,5997,6084,5973,5973,False,src/contaminant/cm_input.f90,cm_input,Reads the contaminant data file.,0,,0,,"!> @brief Checks spatially variable contaminant concentration tables.
!>
!> `MUERR2` verifies that category counts, table lengths, water-depth breakpoints,
!> and concentration values are valid before the contaminant initialisation uses
!> them to interpolate grid and bank concentrations.
!>
!> Checks are applied only for contaminants whose `ISCNSV` flag is true:
!>
!> | Data checked | Condition |
!> |:-------------|:----------|
!> | `NCATTY(J,I)` for non-link elements `J=total_no_links+1:total_no_elements` | Category type must be greater than zero. |
!> | `TABLE_WATER_DEPTH(NELMTY,1,I)` | First depth breakpoint must equal zero. |
!> | `TABLE_WATER_DEPTH(NELMTY,NTBL,I)`, `NTBL>=2` | Depth breakpoints must strictly increase. |
!> | `TABLE_CONCENTRATION(NELMTY,NTBL,I)` | Concentrations must be non-negative. |
!>
!> Errors are accumulated through `ALCHKI`/`ALCHK` into `NERR`; any positive
!> count triggers fatal error 2107 at the end of the routine.
!>
!> @history
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | Legacy | - | 4.2 | Added validation of spatially variable contaminant concentration tables. |
!> | 2026-04-13 | SvB | 4.6.1 | Retained the checker during structured-control-flow conversion. |
!> @endhistory"
mnamm,subroutine,src/nitrate/MNmod.f90,MNmod,199,339,161,161,False,src/nitrate/mn_nitrogen.f90,mn_nitrogen,"Ammonium, nitrification, mineralisation and litter-nitrogen pools.",0,,0,,"!> @brief Updates dissolved ammonium concentration for all active soil cells.
!>
!> `mnamm` iterates the ammonium mass balance with adsorption retardation,
!> mineralisation/immobilisation, nitrification, volatilisation, plant uptake,
!> and external ammonium input. Non-convergence of the cell iteration reports
!> error 3018.
!>
!> The active vertical range is `NBOTCE:NCETOP` when `ISBOTC` is true, otherwise
!> `NCOLMB(element):NCETOP`. Within each soil layer, the iteration solves for
!> `NAMM1` using the nonlinear ammonium retardation factor
!>
!> \[
!> R_\mathrm{amm}=1+
!> \frac{KDDSOL_s\,(NAMM/MNCREF)^{GNN-1}}{\theta}.
!> \]
!>
!> At each iteration the half-step concentration
!> \(NAMM_h=(NAMM+NAMM1)/2\) drives the process terms:
!>
!> | Term | Implemented expression |
!> |:-----|:-----------------------|
!> | Mineralisation | `MINER=GAM` and `IMAMM=0` when `GAM>=0`. |
!> | Immobilisation | `MINER=0`, `IMAMM=min(-GAM, KUAMM*NAMM_h)` when `GAM<0`. |
!> | Nitrification | `NTRF=theta_h*KNIT*ENT*ENPH*NAMM_h`. |
!> | Volatilisation | `VOL=theta_h*KVOL*EMT*NAMM_h`. |
!> | Plant uptake | `PLAMM=min(PLUP*(PPHI*NAMM_h/(NDNIT+NAMM_h)+(1-PPHI)*NAMM_h/(NDSNT+NAMM_h)), VSTHE*KPLAMM*NAMM_h)`. |
!>
!> The new concentration is
!>
!> \[
!> NAMM1 =
!> \frac{\theta_o\,NAMM\,R_o
!>       + DTUZ(-PLAMM+MINER-IMAMM-NTRF-VOL+NAAMM)}
!>      {\theta\,R_1}.
!> \]
!>
!> Up to 20 iterations are allowed per cell. Convergence uses the squared
!> relative change in `NAMM1`; the tolerance is \(10^{-12}\)."
mnco2,subroutine,src/nitrate/MNmod.f90,MNmod,365,430,341,341,False,src/nitrate/mn_organic_matter.f90,mn_organic_matter,"Litter, humus and manure carbon turnover and CO2 production.",0,,0,,"!> @brief Calculates cumulative carbon dioxide production from organic matter turnover.
!>
!> The calculation combines humus, litter, and manure carbon pools with
!> temperature and matric-potential modifiers and suppresses litter/manure
!> decomposition where immobilisation is limiting.
!>
!> For each active land-column cell the routine uses average old/new carbon
!> pools:
!>
!> \[
!> C_h=\frac{CHUM+CHUM1}{2},\quad
!> C_l=\frac{CLIT+CLIT1}{2},\quad
!> C_m=\frac{CMAN+CMAN1}{2}.
!> \]
!>
!> If `ISIMTF` is true, litter and manure decomposition rates are temporarily
!> set to zero. Otherwise the stored `KLIT` and `KMAN` rates are used. Carbon
!> dioxide production is then
!>
!> \[
!> CDORT = (1-FE)(1-FH)K_{lit}EMT\,EMPH\,C_l
!>       + (1-FE)KHUM\,EMT\,EMPH\,C_h
!>       + (1-FE)K_{man}EMT\,EMPH\,C_m .
!> \]"
MNISINITIALISED,function,src/nitrate/MNmod.f90,MNmod,433,435,432,432,False,src/nitrate/mn_driver.f90,mn_driver,"Allocation, initialisation and the per-timestep nitrate sequence.",1,src/contaminant/CMmod.f90,0,,!> @brief Reports whether the mineral-nitrogen component has completed setup.
MNALLOCATE,subroutine,src/nitrate/MNmod.f90,MNmod,444,599,437,437,False,src/nitrate/mn_driver.f90,mn_driver,"Allocation, initialisation and the per-timestep nitrate sequence.",0,,0,,"!> @brief Allocates persistent mineral-nitrogen state and timestep workspace.
!>
!> @history
!>
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 2026-09-05 | SvB | - | Added STAT= and ERRMSG= reporting for all (de)allocations. |"
MNINITIALISE,subroutine,src/nitrate/MNmod.f90,MNmod,613,732,601,601,False,src/nitrate/mn_driver.f90,mn_driver,"Allocation, initialisation and the per-timestep nitrate sequence.",1,src/contaminant/CMmod.f90,0,,"!> @brief Performs the explicit one-time setup for the mineral-nitrogen component.
!>
!> `CMSIM` calls this routine instead of advancing MN on its first call after
!> contaminant setup. This deliberately preserves the legacy one-call delay:
!> initial MN source/sink terms are zero for that contaminant solve, and the
!> first MN process timestep occurs on the following `CMSIM` call.
!>
!> @history
!>
!> | Date | Author | Version | Description |
!> |:-----|:-------|:--------|:------------|
!> | 2026-09-05 | SvB | - | Added STAT= and ERRMSG= reporting for all (de)allocations. |"
MNCONT,subroutine,src/nitrate/MNmod.f90,MNmod,768,850,734,734,False,src/nitrate/mn_driver.f90,mn_driver,"Allocation, initialisation and the per-timestep nitrate sequence.",1,src/contaminant/CMmod.f90,0,,"!> @brief Controls the mineral nitrogen component from the contaminant timestep.
!>
!> `MNCONT` is called by [[cmmod:cmsim]] after [[mninitialise]] has allocated
!> and initialised the mineral-nitrogen component. It computes potential plant
!> nitrogen uptake with [[mnplant]], then calls [[mnmain]] to advance mineral
!> nitrogen state and fill `SSS1` and `SSS2`, which replace the contaminant
!> source/sink arrays used by the CM transport equations.
!>
!> | Phase | Main action |
!> |:------|:------------|
!> | Temporary temperature setup | Set every vegetation air-temperature entry `TA(1:NV)` to 10.0 before plant uptake and the main nitrogen update. |
!> | Plant uptake | Call [[mnplant]] to calculate nitrogen plant uptake demand and related plant output. |
!> | Main MN update | Call [[mnmain]] to initialise/check/read inputs on the first pass and then update ammonium/nitrate source-sink terms. |
!>
!> The dissolved nitrate concentration fields are supplied through the CM arrays
!> `cccc` and `ssss`; ammonium, litter, humus, manure, and process-rate pools are
!> held internally by `MNmod`. Rates and pools are evaluated over land columns
!> from `NLF+1:NEL`; channel links are not treated as nitrogen soil columns.
!>
!> @note `MNCONT` overwrites the incoming `TA` values with 10 deg C before
!> [[mnplant]] and [[mnmain]] are called.
!> @endnote
!>
!> @warning The legacy source comments note that [[mnplant]] has limited input
!> checking. The main nitrogen update path performs more extensive validation in
!> [[mnerr0]], [[mnerr1]], [[mnerr2]], [[mnerr3]], and [[mnerr4]].
!> @endwarning
!>
!> @warning [[cmmod:cmsim]] passes `ICMREF(1:NEL,5)` to the explicit-shape
!> `ICMREF(NEL,4,2:2)` dummy. The MN checks then index four faces, relying on
!> contiguous storage from columns 5--8 beyond the declared one-column actual
!> section. This retained coupling is compiler-sensitive and is not changed
!> here.
!> @endwarning"
mnedth,subroutine,src/nitrate/MNmod.f90,MNmod,884,945,852,852,False,src/nitrate/mn_environment.f90,mn_environment,Soil temperature and the temperature/moisture reduction factors.,0,,0,,"!> @brief Calculates the water-content reduction factor for denitrification.
!>
!> The manual defines the spatial denitrification parameters `KD1` and `KD2`
!> through the `MN25`-`MN28` category/depth tables. This routine supplies the
!> separate moisture response multiplier used with those parameters. For each
!> active land-column cell it forms the relative saturation
!>
!> \[
!> S_r = \frac{\theta}{\phi}
!> \]
!>
!> from `VSTHE` (`\theta`, volumetric water content) and `VSPOR` (`\phi`, soil
!> porosity), then applies the legacy segmented relationship
!>
!> \[
!> E_\theta =
!> \begin{cases}
!> 1, & S_r > 1,\\
!> -7 + 8S_r, & 0.9 < S_r \le 1,\\
!> -1.6 + 2S_r, & 0.8 < S_r \le 0.9,\\
!> 0, & S_r \le 0.8.
!> \end{cases}
!> \]
!>
!> Thus denitrification is switched off at or below 80 percent saturation,
!> increases linearly to 0.2 between 80 and 90 percent saturation, increases
!> linearly to 1.0 between 90 percent saturation and saturation, and remains
!> capped at 1.0 above saturation.
!>
!> The active vertical range follows the module convention: `NBOTCE:NCETOP` when
!> `ISBOTC` is true, otherwise `NCOLMB(element):NCETOP`, with lower bounds also
!> clipped to the current soil-layer base in the layer loop."
mnemph,subroutine,src/nitrate/MNmod.f90,MNmod,973,1019,947,947,False,src/nitrate/mn_environment.f90,mn_environment,Soil temperature and the temperature/moisture reduction factors.,0,,0,,"!> @brief Calculates the matric-potential reduction factor for mineralisation.
!>
!> The manual supplies the humus, litter, and manure decomposition parameter
!> fields through `MN15`-`MN20`, with optional Q10 temperature controls for
!> mineralisation in `MN35`/`MN35a`. This routine supplies the separate matric-
!> potential multiplier applied to mineralisation. For each active land-column
!> cell it evaluates the pressure head/matric potential `\psi` from `VSPSI`
!> and stores
!>
!> \[
!> E_\psi =
!> \begin{cases}
!> 0.6, & \psi > -0.01,\\
!> 1.05 + 0.225\log_{10}(-\psi), & -0.6 < \psi \le -0.01,\\
!> 1.0, & -3.0 < \psi \le -0.6,\\
!> 1.136 - 0.284\log_{10}(-\psi), & -10000 < \psi \le -3.0,\\
!> 0.0, & \psi \le -10000.
!> \end{cases}
!> \]
!>
!> The response is therefore reduced in very wet cells, reaches its maximum
!> over the intermediate matric-potential range, and declines to zero under
!> very dry conditions.
!>
!> The active vertical range is `NBOTCE:NCETOP` when `ISBOTC` is true, otherwise
!> `NCOLMB(element):NCETOP`."
mnemt,subroutine,src/nitrate/MNmod.f90,MNmod,1048,1104,1021,1021,False,src/nitrate/mn_environment.f90,mn_environment,Soil temperature and the temperature/moisture reduction factors.,0,,0,,"!> @brief Calculates the temperature reduction factor for mineralisation.
!>
!> The manual's `MN35` flag (`ISQ10`) selects whether temperature reduction
!> factors use a Q10 function, and `MN35a` supplies `Q10M` for mineralisation
!> when that option is enabled. If `ISQ10` is true, this routine stores
!>
!> \[
!> E_T = Q10M^{(T - 30) / 10}
!> \]
!>
!> where `T` is the cell temperature in `TEMP`. If `ISQ10` is false, the legacy
!> segmented temperature response is used:
!>
!> \[
!> E_T =
!> \begin{cases}
!> 1.0, & T \ge 30,\\
!> -0.5 + 0.05T, & 20 < T < 30,\\
!> -0.1 + 0.03T, & 10 < T \le 20,\\
!> 0.02T, & 0 < T \le 10,\\
!> 0.0, & T \le 0.
!> \end{cases}
!> \]
!>
!> The Q10 branch is used exactly as written and is not capped at 1.0 for
!> temperatures above 30 degrees C. The active vertical range is `NBOTCE:NCETOP`
!> when `ISBOTC` is true, otherwise `NCOLMB(element):NCETOP`."
mnenph,subroutine,src/nitrate/MNmod.f90,MNmod,1136,1183,1106,1106,False,src/nitrate/mn_environment.f90,mn_environment,Soil temperature and the temperature/moisture reduction factors.,0,,0,,"!> @brief Calculates the matric-potential reduction factor for nitrification.
!>
!> The manual supplies the spatial nitrification parameter field through the
!> `MN21`/`MN22` category and depth tables, with optional Q10 temperature
!> controls in `MN35`/`MN35a`. This routine supplies the separate matric-
!> potential multiplier applied to nitrification. For each active land-column
!> cell it evaluates the pressure head/matric potential `\psi` from `VSPSI`
!> and stores
!>
!> \[
!> E_\psi =
!> \begin{cases}
!> 0.6, & \psi > -0.01,\\
!> 1.05 + 0.225\log_{10}(-\psi), & -0.6 < \psi \le -0.01,\\
!> 1.0, & -3.0 < \psi \le -0.6,\\
!> 1.136 - 0.284\log_{10}(-\psi), & -10000 < \psi \le -3.0,\\
!> 0.0, & \psi \le -10000.
!> \end{cases}
!> \]
!>
!> The active implementation therefore keeps nitrification partly active under
!> very wet conditions, reaches its maximum over the intermediate matric-
!> potential range, and declines to zero under very dry conditions.
!>
!> @history
!>
!> | Date | Author | Description |
!> |:-----|:-------|:------------|
!> | 1996-01-22 | Legacy MN development | Replaced the older wet-condition response with the active values above, including `0.6` in the wettest band. |
!> @endhistory"
mnent,subroutine,src/nitrate/MNmod.f90,MNmod,1212,1268,1185,1185,False,src/nitrate/mn_environment.f90,mn_environment,Soil temperature and the temperature/moisture reduction factors.,0,,0,,"!> @brief Calculates the temperature reduction factor for nitrification.
!>
!> The manual's `MN35` flag (`ISQ10`) selects whether temperature reduction
!> factors use a Q10 function, and `MN35a` supplies `Q10N` for nitrification
!> when that option is enabled. If `ISQ10` is true, this routine stores
!>
!> \[
!> E_T = Q10N^{(T - 30) / 10}
!> \]
!>
!> where `T` is the cell temperature in `TEMP`. If `ISQ10` is false, the legacy
!> segmented temperature response is used:
!>
!> \[
!> E_T =
!> \begin{cases}
!> 1.0, & T \ge 30,\\
!> -0.5 + 0.05T, & 20 < T < 30,\\
!> -0.1 + 0.03T, & 10 < T \le 20,\\
!> -0.05 + 0.025T, & 2 < T \le 10,\\
!> 0.0, & T \le 2.
!> \end{cases}
!> \]
!>
!> The Q10 branch is used exactly as written and is not capped at 1.0 for
!> temperatures above 30 degrees C. The active vertical range is `NBOTCE:NCETOP`
!> when `ISBOTC` is true, otherwise `NCOLMB(element):NCETOP`."
MNERR0,subroutine,src/nitrate/MNmod.f90,MNmod,1283,1417,1270,1270,False,src/nitrate/mn_validation.f90,mn_validation,Consistency checks on nitrate input and state.,0,,0,,"!> @brief Checks fixed MN array dimensions, entity counts, and selected file units.
!>
!> `mnerr0` validates the static bounds needed before MN arrays are used.
!>
!> | Group | Checks |
!> | --- | --- |
!> | Fixed array limits | `LLEE >= NCETOP`; `NCONEE >= NCON`; `NELEE >= NEL`; `NLFEE >= max(1, NLF)`; `NLYREE > 0`; `NSEE >= NS`; `NVEE >= NV`; `NXEE >= NX` and `NXEE <= 9999`; `NMNEEE > 0`; `NMNTEE > 0`. |
!> | Entity counts | `0 <= NLF < NEL`; `min(NCETOP, NS, NV) > 0`; `min(NX, NY) > 0`. |
!> | Contaminant contract | MN is coupled to exactly one contaminant species: `NCON == 1`. |
!> | File units | Only `MND`, `MNFC`, `MNFN`, and `MNPR` are checked here, and all must be non-negative. |
!>
!> Detailed failures use errors `3020`-`3033`; any failure is followed by
!> fatal summary error `3010`."
MNERR1,subroutine,src/nitrate/MNmod.f90,MNmod,1435,1682,1419,1419,False,src/nitrate/mn_validation.f90,mn_validation,Consistency checks on nitrate input and state.,0,,0,,"!> @brief Checks the static contaminant-to-MN interface variables.
!>
!> `mnerr1` validates the spatial indexing and soil-column geometry handed to
!> the mineral-nitrogen component before initialisation.
!>
!> | Group | Checks |
!> | --- | --- |
!> | Grid and bank identities | Active grid entries in `ICMXY`, plus both bank elements for each link when `BEXBK` is true, must account for exactly `NEL-NLF` column elements (`2075`). Every model element must be represented once (`2076`). |
!> | Bank neighbours | If the identity check passed and banks exist, each link must have at least one bank with an active grid neighbour (`2079`). The checked face is `2*bank`, decremented for north-south links, and the neighbour is read from `ICMREF(element,face,2)`. |
!> | Reference values | `D0 > 0` and `Z2 > 0`. |
!> | Soil properties | Soil porosity satisfies `0 < VSPOR(soil) <= 1`. |
!> | Column geometry | Land-column `DXQQ` and `DYQQ` are positive; `1 <= NLYR <= NLYREE`; `NLYRBT` is strictly increasing and the top-layer boundary equals `NCETOP+1`; `NTSOIL` is in `1:NS`; `0 < NCOLMB <= NCETOP`; active `DELTAZ` values are positive; `ZVSNOD(nce+1,iel) > ZVSNOD(nce,iel)`. |
!> | Time | Initial simulation time `TIH >= 0`. |
!>
!> Detailed interface failures use errors `3035`-`3046`; any failure is followed
!> by fatal summary error `3011`."
MNERR2,subroutine,src/nitrate/MNmod.f90,MNmod,1701,2046,1684,1684,False,src/nitrate/mn_validation.f90,mn_validation,Consistency checks on nitrate input and state.,0,,0,,"!> @brief Checks static mineral-nitrogen input read by [[mnred1]].
!>
!> `mnerr2` validates the nitrogen and carbon data file after [[mnred1]] has
!> loaded it. Land-column checks run over elements `NLF+1:NEL`.
!>
!> | Group | Checks |
!> | --- | --- |
!> | Uptake and immobilisation | `KUAMM`, `KPLAMM`, `KUNIT`, and `KPLNIT` are non-negative. |
!> | Carbon cycling scalars | `0 <= FE <= 1`, `0 <= FH <= 1`, and `CNRBIO`, `CNRHUM`, and `CNRLIT` are positive. The initial-carbon litter fraction `CLITFR` must be in `0:1`. |
!> | Temperature and deposition scalars | `Q10M` and `Q10N` are non-negative; ammonium and nitrate dry/wet deposition rates are non-negative; `MNCREF > 0`. |
!> | Initial carbon | If `ISICCD` is true, decay-function inputs require `CTOTTP >= 0` and `DCHLF > 0`. Otherwise `CELEM > 0`, initial-carbon table depths start at zero and increase, and table concentrations are non-negative. |
!> | Initial ammonium | If `ISIAMD` is true, decay-function inputs require `NAMTOP >= 0` and `DAMHLF > 0`. Otherwise `NAELEM > 0`, initial-ammonium table depths start at zero and increase, and table concentrations are non-negative. |
!> | Depth-varying process tables | Category ids for `KHUM`, `KLIT`, `KMAN`, `KNIT`, `KVOL`, `KD1`, and `KD2` are positive. Their depth tables start at zero, subsequent depths increase, and table values are non-negative. |
!> | Ammonium adsorption and active depth | `KDDSOL(soil) >= 0` and `NBOTCE < NCETOP`. |
!>
!> Detailed failures use errors `3048`-`3064`; any failure is followed by fatal
!> summary error `3012`."
MNERR3,subroutine,src/nitrate/MNmod.f90,MNmod,2064,2279,2048,2048,False,src/nitrate/mn_validation.f90,mn_validation,Consistency checks on nitrate input and state.,0,,0,,"!> @brief Checks time-dependent MN inputs and updated state variables.
!>
!> `mnerr3` validates the dynamic CM-MN interface over active land-column cells
!> `NCOLMB(element):NCETOP` for elements `NLF+1:NEL`.
!>
!> | Group | Checks |
!> | --- | --- |
!> | Time | `DTUZ > 0`. On the first call only, `UZNOW >= 0`; the later-call monotonic-time check is present in comments but not active. |
!> | Nitrate concentrations | Dynamic-region concentration `CCCC` and dead-space concentration `SSSS` are non-negative. |
!> | Organic pools | Updated humus carbon, litter carbon, manure carbon, litter nitrogen, and manure nitrogen pools are non-negative. |
!> | Ammonium pool | Updated ammonium concentration `NAMM1` is non-negative. |
!> | Soil water and uptake | Current and previous soil-water contents satisfy `0 < VSTHE <= 1` and `0 < VSTHEO <= 1`; plant uptake `PLUP >= 0`. |
!> | Rainfall input | Net precipitation/effective rainfall `PNETTO >= 0` for land-column elements. |
!>
!> Detailed failures use errors `3065`-`3072`; any failure is followed by fatal
!> summary error `3013`."
MNERR4,subroutine,src/nitrate/MNmod.f90,MNmod,2293,2387,2281,2281,False,src/nitrate/mn_validation.f90,mn_validation,Consistency checks on nitrate input and state.,0,,0,,"!> @brief Checks time-varying fertiliser and organic addition data from [[mnred2]].
!>
!> `mnerr4` validates only the scheduled additions that are active for the
!> current timestep, over land-column elements `NLF+1:NEL`.
!>
!> | Active flag | Checked records | Bounds |
!> | --- | --- | --- |
!> | `ISADDN` | Total inorganic nitrogen `NTOT`, ammonium fraction `NAMFCT`, nitrogen banding depth `NDPTHB`. | `NTOT >= 0`, `0 <= NAMFCT <= 1`, `NDPTHB >= 0`. |
!> | `ISADDC` | Total carbon `CTOT`, carbon banding depth `CDPTHB`, litter fraction `CLTFCT`, manure fraction `CMNFCT`, litter C:N ratio `CNRAL`, manure C:N ratio `CNRAM`. | `CTOT >= 0`, `CDPTHB >= 0`, `CLTFCT >= 0`, `CMNFCT >= 0`, `CLTFCT+CMNFCT <= 1`; when `CTOT > 0`, both C:N ratios must be positive. |
!>
!> Detailed failures use errors `3080`-`3087`; any failure is followed by fatal
!> summary error `3014`."
MNGAM,subroutine,src/nitrate/MNmod.f90,MNmod,2427,2508,2389,2389,False,src/nitrate/mn_nitrogen.f90,mn_nitrogen,"Ammonium, nitrification, mineralisation and litter-nitrogen pools.",0,,0,,"!> @brief Calculates net mineralisation or immobilisation for each active soil cell.
!>
!> Positive `gam` values represent net mineralisation and negative values
!> represent immobilisation demand. If immobilisation previously exceeded
!> available mineral nitrogen, litter and manure decomposition are temporarily
!> suppressed until mineralisation has repaid the stored deficit.
!>
!> The manual supplies `FE`, `FH`, `CNRBIO`, and `CNRHUM` in `MN12`, and the
!> depth-varying humus, litter, and manure decomposition parameters through
!> `MN15`-`MN20`. For a cell, the routine first averages old and new pool
!> values, for example \(\bar{C}_h = (C_h + C_h^1)/2\), and forms the
!> environmental reduction factor
!> over `NBOTCE:NCETOP` when `ISBOTC` is true, otherwise over
!> `NCOLMB(element):NCETOP`.
!>
!> \[
!> E = E_T E_\psi.
!> \]
!>
!> With \(K_l'\) and \(K_m'\) equal to `KLIT` and `KMAN` normally, but set to
!> zero while an earlier immobilisation deficit is being repaid, the raw net
!> mineralisation/immobilisation rate is
!>
!> \[
!> \begin{aligned}
!> \Gamma = E\{&
!> K_l'[\bar{N}_l - \bar{C}_l(1-FE)FH/CNRHUM
!>          - \bar{C}_l FE/CNRBIO]\\
!> &+ KHUM\,\bar{C}_h(1/CNRHUM - FE/CNRBIO)\\
!> &+ K_m'[\bar{N}_m - FE\,\bar{C}_m/CNRBIO]\}.
!> \end{aligned}
!> \]
!>
!> `GAMTMP` stores this raw \(\Gamma\). If `ISIMTF` is set, `IMDIFF` stores the
!> remaining immobilisation deficit. Mineralisation over the timestep first
!> repays that deficit: if \(\Gamma\Delta t \ge IMDIFF\), the exported `GAM`
!> becomes \((\Gamma\Delta t - IMDIFF)/\Delta t\) and the flag is cleared;
!> otherwise `IMDIFF` is reduced by \(\Gamma\Delta t\) and `GAM` is set to zero."
MNINIT,subroutine,src/nitrate/MNmod.f90,MNmod,2530,2731,2510,2510,False,src/nitrate/mn_driver.f90,mn_driver,"Allocation, initialisation and the per-timestep nitrate sequence.",0,,0,,"!> @brief Initialises MN pools, parameters, and source/sink terms.
!>
!> `mninit` prepares the land-column MN state over `NLF+1:NEL` and
!> `NCOLMB(element):NCETOP`. It first clears immobilisation-deficit state
!> (`IMDIFF=0`, `ISIMTF=.false.`), then initialises carbon, ammonium, and
!> depth-varying process parameters.
!>
!> | Quantity | Mode | Implemented calculation |
!> | --- | --- | --- |
!> | Initial organic carbon | `ISICCD` true | Exponential profile \(C=C_{top}\exp(-0.693\,z/D_{1/2})\), using `CTOTTP` and `DCHLF`; `CLIT1=CLITFR*C`, `CHUM1=(1-CLITFR)*C`, `NLIT1=CLIT1/CNRLIT`, and manure pools start at zero. |
!> | Initial organic carbon | `ISICCD` false | Interpolate category/profile table `CELEM`, `CCONC`, `CDPTH` with `ALINTP`; split the interpolated total using `CLITFR`, derive `NLIT1`, and set manure pools to zero. |
!> | Initial ammonium | `ISIAMD` true | Exponential profile \(N_{amm}=NAMTOP\exp(-0.693\,z/DAMHLF)\). |
!> | Initial ammonium | `ISIAMD` false | Interpolate category/profile table `NAELEM`, `NACONC`, `NADPTH` with `ALINTP`. |
!> | Process parameters | Always table-based | Interpolate `KHUM`, `KLIT`, `KMAN`, `KNIT`, `KVOL`, `KD1`, and `KD2` from their category/profile tables with `ALINTP`. |
!>
!> The profile depth `z` starts at half the top-cell thickness and then advances
!> downward using adjacent `ZVSNOD` differences. After interpolation,
!> `ISBOTC` is true only if the configured `NBOTCE` is at or below every land
!> column bottom (`NBOTCE >= NCOLMB(element)` for all land elements), and the CM
!> source/sink arrays `SSS1` and `SSS2` are reset to zero."
