variable_name,source_file,source_module,line,declared_type,attributes,dimensions,is_parameter,target_file,target_module,target_module_purpose,proposed_rename,referenced_by_n_files,referenced_by,possibly_referenced_by_n_files,possibly_referenced_by,documentation
ROH,src/contaminant/CMmod.f90,CMmod,88,DOUBLEPRECISION,,(LLEE),False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Fraction of a bank/link composite cell assigned to the bank column.
ISBDY,src/contaminant/CMmod.f90,CMmod,89,LOGICAL,,(4),False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,True where the corresponding current-column face is a catchment boundary.
count,src/contaminant/CMmod.f90,CMmod,90,INTEGER,,,False,src/contaminant/cm_column.f90,cm_column,Column advection-dispersion-reaction assembly and solution.,,0,,0,,Unused legacy module counter; [[snl3]] owns its active saved warning counter.
LWORK,src/contaminant/CMmod.f90,CMmod,91,INTEGER,,(6),False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,,0,,0,,Up to three adjacent-link entries at each end of the current link.
NBK,src/contaminant/CMmod.f90,CMmod,92,INTEGER,,(2),False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,,0,,0,,Bank-column element numbers on the two sides of the current link.
nwell,src/contaminant/CMmod.f90,CMmod,93,INTEGER,,,False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,,0,,0,,Intended current link irrigation-well number; shadowed in [[linkw]].
islk,src/contaminant/CMmod.f90,CMmod,94,LOGICAL,,(2),False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,,0,,0,,True where the corresponding end of the current link connects to another link.
qqqdum,src/contaminant/CMmod.f90,CMmod,95,DOUBLEPRECISION,,,False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,,0,,0,,Intended current link well inflow rate; shadowed in [[linkw]].
QQQSL1,src/contaminant/CMmod.f90,CMmod,96,DOUBLEPRECISION,,,False,src/contaminant/cm_channel.f90,cm_channel,Channel-link advection-dispersion-reaction assembly and solution.,,0,,0,,"Current effective rainfall input rate to the link, using the contaminant sign convention."
CCAPB,src/contaminant/CONT_CC.F90,CONT_CC,35,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Base concentration boundary by element and contaminant.
CCPBO,src/contaminant/CONT_CC.F90,CONT_CC,36,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,0,,Legacy companion to `CCAPB`; not referenced by current source.
CCAPE,src/contaminant/CONT_CC.F90,CONT_CC,37,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,External-inflow concentration by element and contaminant.
CCAPI,src/contaminant/CONT_CC.F90,CONT_CC,38,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Current rainfall concentration by contaminant.
CCAPIO,src/contaminant/CONT_CC.F90,CONT_CC,39,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous rainfall concentration by contaminant.
CCAPR,src/contaminant/CONT_CC.F90,CONT_CC,40,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Base flux-boundary concentration by element and contaminant.
CCAPRO,src/contaminant/CONT_CC.F90,CONT_CC,41,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,0,,Legacy companion to `CCAPR`; not referenced by current source.
IIICF,src/contaminant/CONT_CC.F90,CONT_CC,42,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Current dry-deposition rate by contaminant.
IIICFO,src/contaminant/CONT_CC.F90,CONT_CC,43,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous dry-deposition rate by contaminant.
CCCCW,src/contaminant/CONT_CC.F90,CONT_CC,45,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Well-water concentration by well/element and contaminant.
CCCC,src/contaminant/CONT_CC.F90,CONT_CC,47,DOUBLEPRECISION,"DIMENSION(:, :, :), ALLOCATABLE","(:, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,2,src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,1,src/contaminant/CMmod.f90,Current dynamic-region concentration.
CCCCO,src/contaminant/CONT_CC.F90,CONT_CC,48,DOUBLEPRECISION,"DIMENSION(:, :, :), ALLOCATABLE","(:, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous dynamic-region concentration.
SSSS,src/contaminant/CONT_CC.F90,CONT_CC,49,DOUBLEPRECISION,"DIMENSION(:, :, :), ALLOCATABLE","(:, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,2,src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,1,src/contaminant/CMmod.f90,Current dead-space-region concentration.
SSSSO,src/contaminant/CONT_CC.F90,CONT_CC,50,DOUBLEPRECISION,"DIMENSION(:, :, :), ALLOCATABLE","(:, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Previous dead-space-region concentration.
SSS1,src/contaminant/CONT_CC.F90,CONT_CC,52,DOUBLEPRECISION,"DIMENSION(:, :, :), ALLOCATABLE","(:, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Dynamic-region nitrate/plant source-sink term.
SSS2,src/contaminant/CONT_CC.F90,CONT_CC,53,DOUBLEPRECISION,"DIMENSION(:, :, :), ALLOCATABLE","(:, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Dead-space-region nitrate/plant source-sink term.
GCPLA,src/contaminant/CONT_CC.F90,CONT_CC,55,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Scaled chemical-decay coefficient by contaminant.
GGLMSO,src/contaminant/CONT_CC.F90,CONT_CC,56,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Input chemical-decay constant by contaminant.
CCAPIN,src/contaminant/CONT_CC.F90,CONT_CC,58,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,2,src/contaminant/CMmod.f90;src/frame/FRmod.f90,0,,Uniform or link-element initial concentration by contaminant.
ALPHA,src/contaminant/CONT_CC.F90,CONT_CC,60,DOUBLEPRECISION,,"(NSEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Exchange coefficient between soil regions by soil and contaminant.
FADS,src/contaminant/CONT_CC.F90,CONT_CC,61,DOUBLEPRECISION,,"(NSEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Dynamic-region fraction of adsorption sites by soil and contaminant.
GNN,src/contaminant/CONT_CC.F90,CONT_CC,62,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Freundlich isotherm exponent by contaminant.
KDDLS,src/contaminant/CONT_CC.F90,CONT_CC,63,DOUBLEPRECISION,,"(NSEDEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Reference distribution coefficient by sediment size and contaminant.
KDDSOL,src/contaminant/CONT_CC.F90,CONT_CC,64,DOUBLEPRECISION,,"(NSEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Derived soil distribution coefficient by soil and contaminant.
NCON,src/contaminant/CONT_CC.F90,CONT_CC,66,INTEGER,,,False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,2,src/frame/FRmod.f90;src/visualisation/visualisation_interface_left.f90,1,src/contaminant/CMmod.f90,Number of active contaminants.
FCPBKO,src/contaminant/CONT_CC.F90,CONT_CC,68,DOUBLEPRECISION,"DIMENSION(:, :, :, :), ALLOCATABLE","(:, :, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Dynamic-region bank retardation storage.
GCPBKO,src/contaminant/CONT_CC.F90,CONT_CC,69,DOUBLEPRECISION,"DIMENSION(:, :, :, :), ALLOCATABLE","(:, :, :, :)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Dead-space-region bank retardation storage.
FSF,src/contaminant/CONT_CC.F90,CONT_CC,70,DOUBLEPRECISION,,"(NLFEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Stream-water retardation coefficient by link and contaminant.
FSFC,src/contaminant/CONT_CC.F90,CONT_CC,71,DOUBLEPRECISION,,"(NLFEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Concentration derivative of `FSF`.
FSFT,src/contaminant/CONT_CC.F90,CONT_CC,72,DOUBLEPRECISION,,"(NLFEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Time derivative of `FSF`.
RSW,src/contaminant/CONT_CC.F90,CONT_CC,73,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Surface-water retardation coefficient by element and contaminant.
RSWC,src/contaminant/CONT_CC.F90,CONT_CC,74,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Concentration derivative of `RSW`.
RSWT,src/contaminant/CONT_CC.F90,CONT_CC,75,DOUBLEPRECISION,,"(NELEE, NCONEE)",False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,0,,1,src/contaminant/CMmod.f90,Time derivative of `RSW`.
ALPHBD,src/contaminant/CONT_CC.F90,CONT_CC,77,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Exchange coefficient between channel-bed layers by contaminant.
ALPHBS,src/contaminant/CONT_CC.F90,CONT_CC,78,DOUBLEPRECISION,,(NCONEE),False,src/contaminant/cm_parameters.f90,cm_parameters,Contaminant properties and shared transport state.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Stream-water/channel-bed exchange coefficient by contaminant.
FNCEBD,src/contaminant/bk_cw.f90,BK_CW,35,DOUBLEPRECISION,,"(NLFEE, 2)",False,src/contaminant/cm_bank_geometry.f90,cm_bank_geometry,Bank geometry and exchange indices used by contaminant transport.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Fraction of cell `NCEBD+1` below the deep-bed boundary.
NBANK,src/contaminant/bk_cw.f90,BK_CW,36,INTEGER,,"(NLFEE, 2)",False,src/contaminant/cm_bank_geometry.f90,cm_bank_geometry,Bank geometry and exchange indices used by contaminant transport.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Adjacent bank-element number for each link and bank side.
NCEAB,src/contaminant/bk_cw.f90,BK_CW,37,INTEGER,,"(NLFEE, 2)",False,src/contaminant/cm_bank_geometry.f90,cm_bank_geometry,Bank geometry and exchange indices used by contaminant transport.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Lowest bank cell exchanging with the stream; currently set to `NHBED`.
NCEBD,src/contaminant/bk_cw.f90,BK_CW,38,INTEGER,,"(NLFEE, 2)",False,src/contaminant/cm_bank_geometry.f90,cm_bank_geometry,Bank geometry and exchange indices used by contaminant transport.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Highest bank cell lying fully below the deep-bed boundary.
QQRVO,src/contaminant/bk_cw.f90,BK_CW,39,DOUBLEPRECISION,,"(NLFEE, LLEE, 2)",False,src/contaminant/cm_bank_geometry.f90,cm_bank_geometry,Bank geometry and exchange indices used by contaminant transport.,,0,,0,,"Unused legacy bank-flow storage, shaped by link, cell, and side."
D0,src/contaminant/column/colm_c1.f90,COLM_C1,39,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Reference dispersion coefficient, currently `1.0D-3` m2/s."
Z2,src/contaminant/column/colm_c1.f90,COLM_C1,40,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Reference soil-column length, currently 50 m."
Z2SQ,src/contaminant/column/colm_c1.f90,COLM_C1,41,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,2,src/driver/run_sim.f90;src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Squared reference length, `Z2*Z2` (m2)."
Z2OD,src/contaminant/column/colm_c1.f90,COLM_C1,42,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Reference length divided by dispersion scale, `Z2/D0` (s/m)."
Z2SQOD,src/contaminant/column/colm_c1.f90,COLM_C1,43,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Reference dispersive timescale, `Z2SQ/D0` (s)."
CST1,src/contaminant/column/colm_c1.f90,COLM_C1,45,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Lateral-flow scaling, `CST2/ZONE1`, for the current column."
CST2,src/contaminant/column/colm_c1.f90,COLM_C1,46,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Surface-flow scaling, `Z2/(AREA(NCL)*D0)`, for the current column."
CST3,src/contaminant/column/colm_c1.f90,COLM_C1,47,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Base-flow scaling, `CST2/KSP(NCEBOT)`, for the current column."
SGMA,src/contaminant/column/colm_c1.f90,COLM_C1,48,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,Implicit finite-difference weight; currently one.
SGSQ,src/contaminant/column/colm_c1.f90,COLM_C1,49,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Squared implicit weight, `SGMA*SGMA`."
SGTSE,src/contaminant/column/colm_c1.f90,COLM_C1,50,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Sigma-weighted scaled timestep, `SGMA*TSE`."
SGSTSE,src/contaminant/column/colm_c1.f90,COLM_C1,51,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Squared-sigma weighted scaled timestep, `SGSQ*TSE`."
OMSGMA,src/contaminant/column/colm_c1.f90,COLM_C1,52,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Explicit finite-difference weight, `1-SGMA`; currently zero."
OPSGL,src/contaminant/column/colm_c1.f90,COLM_C1,53,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,Current-contaminant factor `1+SGTSE*GCAPLA`.
OPSGSL,src/contaminant/column/colm_c1.f90,COLM_C1,54,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,Current-contaminant factor `1+SGSTSE*GCAPLA`.
TSE,src/contaminant/column/colm_c1.f90,COLM_C1,55,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Dimensionless contaminant timestep, `D0*DTUZ/Z2SQ`."
FNCPSF,src/contaminant/column/colm_c1.f90,COLM_C1,57,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,0,,Unused legacy phreatic-surface cell fraction; never initialized in current source.
NCEBOT,src/contaminant/column/colm_c1.f90,COLM_C1,59,INTEGER,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,"Bottom active cell of the current column, `NCOLMB(NCL)`."
NCETOP,src/contaminant/column/colm_c1.f90,COLM_C1,60,INTEGER,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,1,src/frame/FRmod.f90,1,src/contaminant/CMmod.f90,"Ground-surface cell index, set to `top_cell_no` by `INCM`."
NCEPSF,src/contaminant/column/colm_c1.f90,COLM_C1,61,INTEGER,,,False,src/contaminant/column/cm_column_scaling.f90,cm_column_scaling,Scaling factors and active-cell range for the column solver.,,0,,1,src/contaminant/CMmod.f90,Upper lateral-transport cell index; currently set to `NCETOP`.
ICAP,src/contaminant/column/colm_c2.f90,COLM_C2,49,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,"Prior scaled dry-deposition source, `-Z2OD*IIICFO(NCONT)`."
ICAPT,src/contaminant/column/colm_c2.f90,COLM_C2,50,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Time-derivative part of `ICAP`; currently set to zero.
ICAPC,src/contaminant/column/colm_c2.f90,COLM_C2,51,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Concentration derivative of `ICAP`; currently set to zero.
QCAP,src/contaminant/column/colm_c2.f90,COLM_C2,52,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Prior scaled rainfall and irrigation/well contaminant source.
QCAPT,src/contaminant/column/colm_c2.f90,COLM_C2,53,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Timestep change in the scaled rainfall and irrigation/well source.
QCAPC,src/contaminant/column/colm_c2.f90,COLM_C2,54,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Concentration derivative of `QCAP`; currently set to zero.
DDA,src/contaminant/column/colm_c2.f90,COLM_C2,56,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,"Current column's y-direction plan dimension, `DYQQ(NCL)` (m)."
DDB,src/contaminant/column/colm_c2.f90,COLM_C2,57,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,"Current column's x-direction plan dimension, `DXQQ(NCL)` (m)."
DDDLS,src/contaminant/column/colm_c2.f90,COLM_C2,58,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Previous loose-sediment depth for the current column (m).
DDDLS1,src/contaminant/column/colm_c2.f90,COLM_C2,59,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Current loose-sediment depth for the current column (m).
DDDSW,src/contaminant/column/colm_c2.f90,COLM_C2,60,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Previous surface-water depth for the current column (m).
DDDSW1,src/contaminant/column/colm_c2.f90,COLM_C2,61,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Current surface-water depth for the current column (m).
GGGNU,src/contaminant/column/colm_c2.f90,COLM_C2,62,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Previous ground-surface erosion depth rate (m/s).
GGGNU1,src/contaminant/column/colm_c2.f90,COLM_C2,63,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Current ground-surface erosion depth rate (m/s).
KSP,src/contaminant/column/colm_c2.f90,COLM_C2,64,DOUBLEPRECISION,,(LLEE),False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,"Nondimensional cell thickness, `DELTAZ/Z2`."
KSPP,src/contaminant/column/colm_c2.f90,COLM_C2,65,DOUBLEPRECISION,,(LLEE),False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Nondimensional spacing between adjacent cell nodes.
ZONE,src/contaminant/column/colm_c2.f90,COLM_C2,66,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Previous nondimensional active-column depth.
ZONE1,src/contaminant/column/colm_c2.f90,COLM_C2,67,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,"Current nondimensional depth, `(ZGRUND-ZCOLMB)/Z2`."
TTTLSE,src/contaminant/column/colm_c2.f90,COLM_C2,69,DOUBLEPRECISION,,,False,src/contaminant/column/cm_column_water.f90,cm_column_water,Per-column water state used by the transport solver.,,0,,1,src/contaminant/CMmod.f90,Assumed loose-sediment moisture content; fixed at `1.0D-4`.
